No.,Time,Source,Destination,Protocol,Length,Info,RTT
1699,455.916903146,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.173511047
1709,458.581334084,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.173532444
1716,461.283142580,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.309472562
1725,464.356316395,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.211904762
1736,467.199388242,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.223286836
1745,469.842052043,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.182799624
1752,472.605412415,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.400589739
1761,476.088063308,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.457102365
1768,478.652223014,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.175337150
1778,481.323608422,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.174172122
1788,484.076661388,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.172026161
1805,487.051524289,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.366400090
1812,489.914953347,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.250163568
1820,492.577840685,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.173280152
1834,495.231533815,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.173909289
1845,497.915888930,10.42.0.250,54.253.71.217,TLSv1.2,998,Application Data,0.178766373
1852,500.558089109,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.174860014
1863,503.241308283,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.172764594
1875,506.085566909,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.499285537
1884,509.162921270,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.174758395
1891,512.233906515,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.198875041
1899,514.896860089,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.174556216
1907,517.559676693,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.172532324
1918,520.223048521,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.175410116
1925,523.496912889,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.394147230
1939,526.160996282,10.42.0.250,54.253.71.217,TLSv1.2,1064,Application Data,0.869818571
1947,529.445004924,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.569743105
1958,533.228866666,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.175291381
1977,535.803638762,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.178278950
1986,538.855785268,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.302270397
1999,542.139298928,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.176084930
2012,544.904124665,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.216270979
2021,547.667705055,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.182805237
2029,550.341007138,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.175215699
2037,554.013981945,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.172411072
2046,556.678899238,10.42.0.250,54.253.71.217,TLSv1.2,1114,Application Data,0.177271222
2055,559.542048255,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.175128654
2064,562.225410430,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.175753089
2076,564.883399043,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.219418156
2085,567.945463595,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.334661814
2092,571.009094468,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.366846714
2101,573.773946465,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.174010912
2112,576.345251832,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.172576766
2127,579.019816228,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.170909101
2137,581.863080861,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.306535300
2148,585.038639751,10.42.0.250,54.253.71.217,TLSv1.2,1181,Application Data,0.379746840
2159,587.622271906,10.42.0.250,54.253.71.217,TLSv1.2,1231,Application Data,0.176671820
